SourceImage,Relative X,Relative Y,Radius,Absolute X,Absolute Y,Luminance,Number of Pixels Detected,Rectangle Bounding Width,Rectangle Bounding Height,Rectangle Bounding Area
captureX15Y0P0015.jpg,3.92,1.256,0.12,13.74,3.924,60,489,18,30,540
captureX15Y0P0015.jpg,3.928,0.648,0.12,14.352,3.932,58,492,19,29,551
captureX15Y0P0015.jpg,3.944,0.072,0.096,14.92171429,3.948,66,367,18,22,396
captureX15Y0P0015.jpg,4.544,3.032,0.104,11.968,4.548,43,393,16,27,432
captureX15Y0P0015.jpg,4.552,2.416,0.096,12.584,4.552,37,320,15,23,345
captureX15Y0P0015.jpg,4.56,1.824,0.104,13.17056006,4.56,51,402,17,26,442
captureX15Y0P0015.jpg,4.56,1.216,0.112,13.78,4.56,51,427,17,28,476
captureX15Y0P0015.jpg,4.568,0.616,0.112,14.38,4.568,54,439,17,28,476
captureX15Y0P0015.jpg,5.184,3.08,0.112,11.92,5.184,49,441,17,29,493
captureX15Y0P0015.jpg,5.184,2.48,0.112,12.52,5.188,51,447,17,29,493
captureX15Y0P0015.jpg,5.192,1.872,0.112,13.12266663,5.192,52,431,17,28,476
captureX15Y0P0015.jpg,5.192,1.272,0.112,13.728,5.196,52,447,17,29,493
captureX15Y0P0015.jpg,5.2,0.664,0.112,14.336,5.204,51,415,17,27,459
captureX15Y0P0015.jpg,5.216,0.08,0.096,14.91909091,5.216,65,366,17,23,391
captureX15Y0P0015.jpg,5.824,3.032,0.12,11.964,5.828,59,502,19,30,570
captureX15Y0P0015.jpg,5.832,2.424,0.12,12.572,5.832,62,511,19,30,570
captureX15Y0P0015.jpg,5.832,1.824,0.12,13.172,5.836,60,507,19,30,570
captureX15Y0P0015.jpg,5.84,1.224,0.12,13.772,5.84,61,512,19,30,570
captureX15Y0P0015.jpg,5.848,0.616,0.12,14.38,5.848,54,505,19,30,570
captureX15Y0P0015.jpg,5.864,0.056,0.088,14.938,5.864,68,324,19,19,361
captureX16Y0P0016.jpg,0.096,3.28,0.136,12.716,0.1,69,633,21,34,714
captureX16Y0P0016.jpg,0.104,2.68,0.136,13.316,0.108,67,615,21,34,714
captureX16Y0P0016.jpg,0.12,2.072,0.128,13.924,0.12,65,582,21,32,672
captureX16Y0P0016.jpg,0.112,1.472,0.128,14.52125,0.116,71,599,20,33,660
captureX16Y0P0016.jpg,0.128,0.864,0.128,15.132,0.132,67,585,21,32,672
captureX16Y0P0016.jpg,0.128,0.272,0.12,15.728,0.132,70,542,19,31,589
captureX16Y0P0016.jpg,0.736,3.328,0.136,12.668,0.74,69,629,21,34,714
captureX16Y0P0016.jpg,0.744,2.728,0.128,13.272,0.744,73,622,21,33,693
captureX16Y0P0016.jpg,0.744,2.12,0.12,13.88,0.748,71,582,21,31,651
captureX16Y0P0016.jpg,0.744,1.52,0.128,14.47729028,0.748,68,574,20,32,640
captureX16Y0P0016.jpg,0.752,0.92,0.128,15.08,0.756,67,606,21,33,693
captureX16Y0P0016.jpg,0.76,0.32,0.128,15.68,0.76,68,588,20,33,660
captureX16Y0P0016.jpg,1.368,3.248,0.136,12.748,1.372,69,625,21,34,714
captureX16Y0P0016.jpg,1.376,2.648,0.136,13.348,1.38,71,632,21,34,714
captureX16Y0P0016.jpg,1.384,2.048,0.136,13.952,1.384,70,669,22,35,770
captureX16Y0P0016.jpg,1.392,1.424,0.12,14.56940723,1.398216064,68,583,21,31,651
