SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax
subImage_12,lightHole,2485,257,0.5964244,0.0029023117,0.7411769,0.035155755
subImage_12,lightHole,2485,257,0.69060034,0.004065173,0.8069883,0.03642769
subImage_12,lightHole,2485,257,0.6219763,0.14899558,0.7459973,0.18427192
subImage_13,lightHole,2982,0,0.0594627,0.09841552,0.11628226,0.12576172
subImage_13,lightHole,2982,0,0.43460506,0.40372095,0.48499903,0.425214
subImage_13,lightHole,2982,0,0.43137798,0.70409715,0.48362386,0.72908926
subImage_13,lightHole,2982,0,0.3598978,0.55392724,0.40829536,0.5773043
subImage_13,lightHole,2982,0,0.6521612,0.7037235,0.69464195,0.72411466
subImage_13,lightHole,2982,0,0.041228626,0.09541664,0.14614643,0.12585275
subImage_13,lightHole,2982,0,0.29084256,0.5529662,0.34098467,0.57767403
subImage_13,lightHole,2982,0,0.7310756,0.54870224,0.7768038,0.57401806
subImage_13,lightHole,2982,0,0.434773,0.5523485,0.48142686,0.5764337
subImage_13,lightHole,2982,0,0.94519454,0.24185093,0.99269146,0.28528094
subImage_13,lightHole,2982,0,0.21672295,0.70487016,0.25783384,0.7282679
subImage_13,lightHole,2982,0,0.004344479,0.24894145,0.039688777,0.27724412
subImage_14,lightHole,2982,257,0.2850716,0.010630934,0.3281891,0.032604694
subImage_14,lightHole,2982,257,0.8053176,0.0047763586,0.85554475,0.026040621
subImage_14,lightHole,2982,257,0.28867924,0.7518695,0.34562406,0.7809424
subImage_14,lightHole,2982,257,0.21595965,0.15019663,0.27109164,0.17521909
subImage_14,lightHole,2982,257,0.13111077,0.15030077,0.18917023,0.17367981
subImage_14,lightHole,2982,257,0.1336632,0.9078917,0.20188278,0.93321
subImage_14,lightHole,2982,257,0.7266962,0.14565071,0.7815853,0.17067249
subImage_14,lightHole,2982,257,0.5112512,0.0075837234,0.55222183,0.028326891
subImage_14,lightHole,2982,257,0.29192913,0.9026029,0.3477614,0.9313482
subImage_14,lightHole,2982,257,0.56341904,0.005279409,0.61751866,0.02968203
subImage_14,lightHole,2982,257,0.66209924,0.75235164,0.7247113,0.7752666
subImage_14,lightHole,2982,257,0.20229095,0.1450955,0.33076116,0.17701818
subImage_14,lightHole,2982,257,0.11882533,0.90489686,0.2267465,0.93818825
subImage_14,lightHole,2982,257,0.64799404,0.004968634,0.6941863,0.031080458
subImage_14,lightHole,2982,257,0.58593917,0.30005008,0.6411029,0.32244718
subImage_14,lightHole,2982,257,0.81064,0.44723597,0.8563009,0.4694608
subImage_14,lightHole,2982,257,0.42684266,0.14646009,0.4822043,0.16980433
subImage_14,lightHole,2982,257,0.6368124,0.0016024505,0.7495473,0.035742324
subImage_14,lightHole,2982,257,0.6588831,0.2918511,0.79579854,0.32723662
subImage_14,lightHole,2982,257,0.36754465,0.14662924,0.4234417,0.1734417
subImage_14,lightHole,2982,257,0.21335173,0.7558887,0.26237267,0.7803032
subImage_14,lightHole,2982,257,0.5171831,0.29956034,0.5581027,0.32249868
subImage_14,lightHole,2982,257,0.3205526,0.14433514,0.42492357,0.17765765
subImage_14,lightHole,2982,257,0.35568145,0.14670423,0.40838546,0.1724946
subImage_14,lightHole,2982,257,0.5817758,0.005726192,0.63955796,0.030511111
subImage_14,lightHole,2982,257,0.27618825,0.8981339,0.4132593,0.9356679
subImage_14,lightHole,2982,257,0.81185055,0.7507911,0.8544327,0.77513504
subImage_14,lightHole,2982,257,0.14881793,0.0004999908,0.22973265,0.026282461
subImage_14,lightHole,2982,257,0.08787202,0.75015146,0.19934879,0.7860845
subImage_14,lightHole,2982,257,0.7987332,0.74852353,0.9154021,0.7769196
subImage_14,lightHole,2982,257,0.27336207,0.745572,0.40640602,0.7849421
subImage_14,lightHole,2982,257,0.66174114,0.7482091,0.77329725,0.78020424
subImage_14,lightHole,2982,257,0.80824184,0.2957596,0.8522794,0.3203967
subImage_14,lightHole,2982,257,0.50071424,0.0019680602,0.61358553,0.03545237
subImage_14,lightHole,2982,257,0.56842494,0.0046967557,0.65672237,0.032853175
subImage_14,lightHole,2982,257,0.41620487,0.0037217757,0.515004,0.038828965
subImage_15,lightHole,3479,0,0.45925954,0.23888747,0.5144633,0.2651893
subImage_15,lightHole,3479,0,0.16431469,0.23973922,0.21792227,0.2696695
subImage_15,lightHole,3479,0,0.090088174,0.23744364,0.16323194,0.27048954
subImage_15,lightHole,3479,0,0.31940112,0.54549754,0.36592758,0.5681058
subImage_15,lightHole,3479,0,0.7624509,0.23418541,0.82489806,0.26079884
subImage_15,lightHole,3479,0,0.6790834,0.6905502,0.7300876,0.71492904
subImage_15,lightHole,3479,0,0.2452543,0.6940062,0.29612115,0.7195967
subImage_15,lightHole,3479,0,0.24629271,0.5454124,0.29435804,0.56804776
subImage_16,lightHole,3479,257,0.23126122,0.00051835325,0.35094267,0.030857887
subImage_16,lightHole,3479,257,0.24725428,0.7488542,0.29148057,0.76998526
subImage_16,lightHole,3479,257,0.034490522,0.89995515,0.082138956,0.92517585
subImage_16,lightHole,3479,257,0.01563634,0.004206598,0.062547535,0.022814605
subImage_16,lightHole,3479,257,0.685997,0.74412364,0.7467797,0.7660084
subImage_16,lightHole,3479,257,0.45634496,0.00053355866,0.5094402,0.024931142
subImage_16,lightHole,3479,257,0.39941913,0.43950692,0.45369783,0.4683116
subImage_16,lightHole,3479,257,0.39423683,0.14689347,0.4508569,0.17438659
subImage_16,lightHole,3479,257,0.23698278,0.002086309,0.29474115,0.025102373
subImage_16,lightHole,3479,257,0.027911186,0.15372413,0.07457147,0.17549832
subImage_16,lightHole,3479,257,0.1646419,0.7480382,0.20917863,0.77026093
subImage_16,lightHole,3479,257,0.4659117,0.14967579,0.5121451,0.17222342
subImage_16,lightHole,3479,257,0.0899106,0.00026102905,0.17095278,0.029187707
subImage_16,lightHole,3479,257,0.53898716,0.14411199,0.589406,0.17363834
subImage_16,lightHole,3479,257,0.39999115,0.59705615,0.4445188,0.61965585
subImage_16,lightHole,3479,257,0.16361237,0.0029027709,0.2201525,0.02575546
subImage_16,lightHole,3479,257,0.3796309,0.74541503,0.43848446,0.7685695
subImage_16,lightHole,3479,257,0.075244024,0.14236991,0.1907688,0.1798206
subImage_16,lightHole,3479,257,0.45954794,0.4431697,0.5082111,0.46516082
subImage_16,lightHole,3479,257,0.16493382,0.5983447,0.21838227,0.6248219
subImage_16,lightHole,3479,257,0.019767327,0.7490548,0.06598704,0.7749043
subImage_16,lightHole,3479,257,0.24433744,0.6008644,0.29584342,0.6199476
subImage_16,lightHole,3479,257,0.096997365,0.7450525,0.15956365,0.77217185
subImage_16,lightHole,3479,257,0.67232007,0.73855364,0.8102254,0.7701477
subImage_16,lightHole,3479,257,0.09961697,0.29243976,0.1615068,0.32071632
subImage_16,lightHole,3479,257,0.16318293,0.29319373,0.22154836,0.3203207
subImage_16,lightHole,3479,257,0.762727,0.5945314,0.8081697,0.6137804
subImage_16,lightHole,3479,257,0.44256583,0.0,0.52296054,0.026541958
subImage_17,lightHole,3976,0,0.49616534,0.0,0.5696312,0.012186106
subImage_18,lightHole,3976,257,0.12206142,0.4334044,0.1711672,0.4611538
subImage_18,lightHole,3976,257,0.12662175,0.5899405,0.16879123,0.61011696
subImage_18,lightHole,3976,257,0.112611644,0.8886632,0.16577606,0.9150143
