SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY
subImage_2,darkHole,0,746,0.6920222,0.29539427,0.726951,0.3199541,182.3380572,975.5249416
subImage_2,darkHole,0,746,0.5389396,0.04926107,0.571666,0.07149686,142.7128193,791.0427079
subImage_2,darkHole,0,746,0.6920436,0.54246074,0.73425215,0.56522226,183.2790048,1159.16576
subImage_2,darkHole,0,746,0.5431414,0.48875982,0.57404965,0.51362056,143.5590533,1119.887878
subImage_2,lightHole,0,746,0.079660624,0.15215397,0.11608116,0.17512095,25.1528197,868.0735446
subImage_2,darkHole,0,746,0.5468955,0.44408086,0.57515854,0.46577996,144.1839442,1085.378086
subImage_2,darkHole,0,746,0.537109,0.19750212,0.57195073,0.22232932,142.514178,902.5971271
subImage_2,lightHole,0,746,0.39893168,0.5924224,0.4375238,0.61287177,107.484531,1195.574734
subImage_2,lightHole,0,746,0.08159513,0.39911562,0.117853425,0.42006132,25.62913941,1051.552999
subImage_2,darkHole,0,746,0.5455776,0.3919038,0.5753726,0.41648272,144.0420959,1047.528166
subImage_2,darkHole,0,746,0.24111542,0.78828096,0.27601752,0.81078136,66.45158252,1342.450247
subImage_2,darkHole,0,746,0.55035,0.8841204,0.5847982,0.90725106,145.8665472,1414.181556
subImage_2,darkHole,0,746,0.6997383,0.7348483,0.7578447,0.767388,187.2994168,1306.334142
subImage_2,darkHole,0,746,0.54009306,0.001825349,0.5670513,0.022897331,142.2680497,755.2215598
subImage_2,darkHole,0,746,0.83597004,0.049724482,0.8713351,0.06848233,219.3887096,790.0911416
subImage_2,darkHole,0,746,0.69431686,0.3471352,0.7312049,0.3708398,183.1795501,1013.804671
subImage_2,darkHole,0,746,0.68874604,0.101159945,0.72975343,0.12408519,182.2771819,830.0164346
subImage_2,lightHole,0,746,0.09337297,0.98614585,0.13348418,0.9997894,29.15114449,1486.753856
subImage_2,darkHole,0,746,0.54204595,0.29792085,0.57093185,0.3178553,143.0176477,975.6845045
subImage_2,darkHole,0,746,0.84781414,0.6340664,0.89235294,0.65734774,223.61147,1227.697475
subImage_2,lightHole,0,746,0.39628056,0.6417887,0.42849493,0.66185766,105.9836501,1232.260102
subImage_2,darkHole,0,746,0.38643548,0.006004128,0.41384983,0.024897378,102.8366623,757.5262618
